municipality,previous_score,new_score,score_delta,status,remaining_issue_count,regression_count,highest_severity,primary_root_match,helper_group_quality,dominant_root_cause,recommended_next_action,evidence_summary
Astorp,8,7,-1,REGRESSION,3,1,CLASSIFICATION_FAILURE,CORRECT,PARTIAL,CLASSIFICATION_FAILURE,Extend utility/archive/news/404 classifiers and verify root-layer demotion in viewer.,6/6 expected root matches; 6/6 present; 14 root nodes; 379 total nodes; 2 likely utility/archive/news/404 nodes still appear as root-level primary navigation. Root layer is noisy: 9 extra non-utility Depth=1 nodes.
Bjuv,8,8,0,UNCHANGED,3,0,CLASSIFICATION_FAILURE,CORRECT,CORRECT,CLASSIFICATION_FAILURE,Extend utility/archive/news/404 classifiers and verify root-layer demotion in viewer.,7/7 expected root matches; 7/7 present; 15 root nodes; 565 total nodes; 1 likely utility/archive/news/404 nodes still appear as root-level primary navigation. Root layer is noisy: 9 extra non-utility Depth=1 nodes.
Burlov,6,7,1,IMPROVED,2,0,CLASSIFICATION_FAILURE,CORRECT,CORRECT,CLASSIFICATION_FAILURE,Extend utility/archive/news/404 classifiers and verify root-layer demotion in viewer.,8/8 expected root matches; 8/8 present; 18 root nodes; 235 total nodes; 8 likely utility/archive/news/404 nodes still appear as root-level primary navigation. Root layer is noisy: 10 extra non-utility Depth=1 nodes.
Engelholm,8,7,-1,REGRESSION,3,1,CLASSIFICATION_FAILURE,CORRECT,CORRECT,CLASSIFICATION_FAILURE,Extend utility/archive/news/404 classifiers and verify root-layer demotion in viewer.,8/8 expected root matches; 8/8 present; 24 root nodes; 636 total nodes; 8 likely utility/archive/news/404 nodes still appear as root-level primary navigation. Root layer is noisy: 17 extra non-utility Depth=1 nodes.
Fagersta,9,10,1,IMPROVED,0,0,CORRECT,CORRECT,CORRECT,CORRECT,No roadmap change; keep as regression fixture.,8/8 expected root matches; 8/8 present; 8 root nodes; 761 total nodes; 
Hammaro,9,8,-1,REGRESSION,2,1,CLASSIFICATION_FAILURE,CORRECT,CORRECT,CLASSIFICATION_FAILURE,Extend utility/archive/news/404 classifiers and verify root-layer demotion in viewer.,8/8 expected root matches; 8/8 present; 15 root nodes; 474 total nodes; 5 likely utility/archive/news/404 nodes still appear as root-level primary navigation. Root layer is noisy: 8 extra non-utility Depth=1 nodes.
Horby,6,7,1,IMPROVED,4,0,CLASSIFICATION_FAILURE,PARTIAL,PARTIAL,CLASSIFICATION_FAILURE,Extend utility/archive/news/404 classifiers and verify root-layer demotion in viewer.,6/7 expected root matches; 7/7 present; 14 root nodes; 1418 total nodes; 1 expected entries are present but not at root level. 2 likely utility/archive/news/404 nodes still appear as root-level primary navigation.
Kavlinge,8,10,2,IMPROVED,0,0,CORRECT,CORRECT,CORRECT,CORRECT,No roadmap change; keep as regression fixture.,9/9 expected root matches; 9/9 present; 9 root nodes; 568 total nodes; 
Klippan,9,9,0,UNCHANGED,1,0,CLASSIFICATION_FAILURE,CORRECT,CORRECT,CLASSIFICATION_FAILURE,Extend utility/archive/news/404 classifiers and verify root-layer demotion in viewer.,7/7 expected root matches; 7/7 present; 10 root nodes; 473 total nodes; 3 likely utility/archive/news/404 nodes still appear as root-level primary navigation.
Landskrona,7,8,1,IMPROVED,4,0,CLASSIFICATION_FAILURE,PARTIAL,PARTIAL,CLASSIFICATION_FAILURE,Extend utility/archive/news/404 classifiers and verify root-layer demotion in viewer.,7/8 expected root matches; 8/8 present; 12 root nodes; 1422 total nodes; 1 expected entries are present but not at root level. 2 likely utility/archive/news/404 nodes still appear as root-level primary navigation.
Lund,9,9,0,UNCHANGED,1,0,CLASSIFICATION_FAILURE,PARTIAL,CORRECT,CLASSIFICATION_FAILURE,Extend utility/archive/news/404 classifiers and verify root-layer demotion in viewer.,8/9 expected root matches; 9/9 present; 10 root nodes; 954 total nodes; 1 expected entries are present but not at root level.
Norberg,8,7,-1,REGRESSION,3,1,CLASSIFICATION_FAILURE,CORRECT,FAILED,CLASSIFICATION_FAILURE,Extend utility/archive/news/404 classifiers and verify root-layer demotion in viewer.,6/6 expected root matches; 6/6 present; 21 root nodes; 316 total nodes; 8 likely utility/archive/news/404 nodes still appear as root-level primary navigation. Root layer is noisy: 15 extra non-utility Depth=1 nodes.
Orkelljunga,8,8,0,UNCHANGED,2,0,CLASSIFICATION_FAILURE,CORRECT,PARTIAL,CLASSIFICATION_FAILURE,Extend utility/archive/news/404 classifiers and verify root-layer demotion in viewer.,7/7 expected root matches; 7/7 present; 15 root nodes; 538 total nodes; Root layer is noisy: 8 extra non-utility Depth=1 nodes. 33 canonical duplicate URL clusters remain.
Perstorp,8,7,-1,REGRESSION,2,1,CLASSIFICATION_FAILURE,CORRECT,PARTIAL,CLASSIFICATION_FAILURE,Extend utility/archive/news/404 classifiers and verify root-layer demotion in viewer.,6/6 expected root matches; 6/6 present; 20 root nodes; 121 total nodes; 7 likely utility/archive/news/404 nodes still appear as root-level primary navigation. Root layer is noisy: 14 extra non-utility Depth=1 nodes.
Sala,7,8,1,IMPROVED,2,0,CLASSIFICATION_FAILURE,CORRECT,FAILED,CLASSIFICATION_FAILURE,Extend utility/archive/news/404 classifiers and verify root-layer demotion in viewer.,7/7 expected root matches; 7/7 present; 25 root nodes; 1500 total nodes; Root layer is noisy: 18 extra non-utility Depth=1 nodes. Large corpus (1500 nodes) increases depth/parent-assignment risk.
Simrishamn,7,9,2,IMPROVED,2,0,CLASSIFICATION_FAILURE,CORRECT,CORRECT,CLASSIFICATION_FAILURE,Extend utility/archive/news/404 classifiers and verify root-layer demotion in viewer.,8/8 expected root matches; 8/8 present; 13 root nodes; 141 total nodes; 3 likely utility/archive/news/404 nodes still appear as root-level primary navigation. Root layer is noisy: 5 extra non-utility Depth=1 nodes.
Sjobo,8,7,-1,REGRESSION,3,1,CLASSIFICATION_FAILURE,CORRECT,CORRECT,CLASSIFICATION_FAILURE,Extend utility/archive/news/404 classifiers and verify root-layer demotion in viewer.,8/8 expected root matches; 8/8 present; 19 root nodes; 471 total nodes; 3 likely utility/archive/news/404 nodes still appear as root-level primary navigation. Root layer is noisy: 19 extra non-utility Depth=1 nodes.
Skurup,8,8,0,UNCHANGED,2,0,CLASSIFICATION_FAILURE,CORRECT,CORRECT,CLASSIFICATION_FAILURE,Extend utility/archive/news/404 classifiers and verify root-layer demotion in viewer.,7/8 expected root matches; 7/8 present; 9 root nodes; 567 total nodes; 2 likely utility/archive/news/404 nodes still appear as root-level primary navigation. Root layer is noisy: 9 extra non-utility Depth=1 nodes.
Svalov,8,6,-2,REGRESSION,3,1,CLASSIFICATION_FAILURE,PARTIAL,CORRECT,CLASSIFICATION_FAILURE,Extend utility/archive/news/404 classifiers and verify root-layer demotion in viewer.,0/4 expected root matches; 1/4 present; 7 root nodes; 411 total nodes; 3 expected primary entries not found: Overlay-navigation; Google Translate i overlay; Limepark-specifik cookie-dialog 1 expected entries are present but not at root level.
Svedala,6,3,-3,REGRESSION,3,1,CLASSIFICATION_FAILURE,PARTIAL,PARTIAL,CLASSIFICATION_FAILURE,Extend utility/archive/news/404 classifiers and verify root-layer demotion in viewer.,0/6 expected root matches; 6/6 present; 5 root nodes; 1496 total nodes; 6 expected entries are present but not at root level. Root layer is noisy: 5 extra non-utility Depth=1 nodes.
Tomelilla,8,8,0,UNCHANGED,1,0,CLASSIFICATION_FAILURE,CORRECT,CORRECT,CLASSIFICATION_FAILURE,Extend utility/archive/news/404 classifiers and verify root-layer demotion in viewer.,8/8 expected root matches; 8/8 present; 21 root nodes; 1152 total nodes; Root layer is noisy: 14 extra non-utility Depth=1 nodes.
Trelleborg,7,7,0,UNCHANGED,2,0,CLASSIFICATION_FAILURE,PARTIAL,PARTIAL,CLASSIFICATION_FAILURE,Extend utility/archive/news/404 classifiers and verify root-layer demotion in viewer.,8/10 expected root matches; 10/10 present; 13 root nodes; 637 total nodes; 2 expected entries are present but not at root level. 3 likely utility/archive/news/404 nodes still appear as root-level primary navigation.
Ystad,7,9,2,IMPROVED,3,0,CLASSIFICATION_FAILURE,PARTIAL,CORRECT,CLASSIFICATION_FAILURE,Extend utility/archive/news/404 classifiers and verify root-layer demotion in viewer.,7/8 expected root matches; 7/8 present; 11 root nodes; 570 total nodes; 1 expected primary entries not found: Kontakta kommunen 1 likely utility/archive/news/404 nodes still appear as root-level primary navigation.
